palettes_hex
#1A5276
#1D8348
#7B241C
#6E2C00
#78281F
#4D5656
#4A235A
#B7950B
#4E342E
#5B2C6F
#6C3483
#2E4053
#2C3E50
#2471A3
#2980B9
#148F77
#A04000
